Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
BFO,2304123,1500,WIPROPT,WIPRO24AUG480CE,29-AUG-2024,OPTSTK,CE,480,0.05,
BFO,1172722,1500,WIPROPT,WIPRO24AUG475CE,29-AUG-2024,OPTSTK,CE,475,0.05,
BFO,1146134,1500,WIPROPT,WIPRO24AUG470CE,29-AUG-2024,OPTSTK,CE,470,0.05,
BFO,1151098,1500,WIPROPT,WIPRO24AUG465CE,29-AUG-2024,OPTSTK,CE,465,0.05,
BFO,1150608,1500,WIPROPT,WIPRO24AUG460CE,29-AUG-2024,OPTSTK,CE,460,0.05,
BFO,1137495,1500,WIPROPT,WIPRO24AUG455CE,29-AUG-2024,OPTSTK,CE,455,0.05,
BFO,1137143,1500,WIPROPT,WIPRO24AUG450CE,29-AUG-2024,OPTSTK,CE,450,0.05,
BFO,1140877,1500,WIPROPT,WIPRO24AUG445CE,29-AUG-2024,OPTSTK,CE,445,0.05,
BFO,1140518,1500,WIPROPT,WIPRO24AUG440CE,29-AUG-2024,OPTSTK,CE,440,0.05,
BFO,1145435,1500,WIPROPT,WIPRO24AUG435CE,29-AUG-2024,OPTSTK,CE,435,0.05,
BFO,1145066,1500,WIPROPT,WIPRO24AUG430CE,29-AUG-2024,OPTSTK,CE,430,0.05,
BFO,1150001,1500,WIPROPT,WIPRO24AUG425CE,29-AUG-2024,OPTSTK,CE,425,0.05,
BFO,1149613,1500,WIPROPT,WIPRO24AUG420CE,29-AUG-2024,OPTSTK,CE,420,0.05,
BFO,1153675,1500,WIPROPT,WIPRO24AUG415CE,29-AUG-2024,OPTSTK,CE,415,0.05,
BFO,1153247,1500,WIPROPT,WIPRO24AUG410CE,29-AUG-2024,OPTSTK,CE,410,0.05,
BFO,1139956,1500,WIPROPT,WIPRO24AUG405CE,29-AUG-2024,OPTSTK,CE,405,0.05,
BFO,1139561,1500,WIPROPT,WIPRO24AUG400CE,29-AUG-2024,OPTSTK,CE,400,0.05,
BFO,2024001,600,VOLTOPT,VOLTAS24JUN1610PE,27-JUN-2024,OPTSTK,PE,1610,0.05,
BFO,2098111,600,VOLTOPT,VOLTAS24JUN1600PE,27-JUN-2024,OPTSTK,PE,1600,0.05,
BFO,2028944,600,VOLTOPT,VOLTAS24JUN1590PE,27-JUN-2024,OPTSTK,PE,1590,0.05,
BFO,2264975,600,VOLTOPT,VOLTAS24JUN1580PE,27-JUN-2024,OPTSTK,PE,1580,0.05,
BFO,2034700,600,VOLTOPT,VOLTAS24JUN1570PE,27-JUN-2024,OPTSTK,PE,1570,0.05,
BFO,2207339,600,VOLTOPT,VOLTAS24JUN1560PE,27-JUN-2024,OPTSTK,PE,1560,0.05,
BFO,2010690,600,VOLTOPT,VOLTAS24JUN1550PE,27-JUN-2024,OPTSTK,PE,1550,0.05,
BFO,2262374,600,VOLTOPT,VOLTAS24JUN1540PE,27-JUN-2024,OPTSTK,PE,1540,0.05,
BFO,2020128,600,VOLTOPT,VOLTAS24JUN1530PE,27-JUN-2024,OPTSTK,PE,1530,0.05,
BFO,2094757,600,VOLTOPT,VOLTAS24JUN1520PE,27-JUN-2024,OPTSTK,PE,1520,0.05,
BFO,2026872,600,VOLTOPT,VOLTAS24JUN1510PE,27-JUN-2024,OPTSTK,PE,1510,0.05,
